Department,Line Item,Budget,Actual,Variance,Variance Pct
Sales,Salaries & Benefits,320000,322000,2000,0.6
Sales,Software & SaaS,18000,20000,2000,11.1
Sales,Travel & Entertainment,30000,45000,15000,50.0
Sales,Professional Services,5000,4000,-1000,-20.0
Sales,Marketing Programs,0,0,0,0.0
Marketing,Salaries & Benefits,180000,178000,-2000,-1.1
Marketing,Software & SaaS,25000,28000,3000,12.0
Marketing,Travel & Entertainment,12000,8000,-4000,-33.3
Marketing,Professional Services,8000,10000,2000,25.0
Marketing,Marketing Programs,120000,180000,60000,50.0
Engineering,Salaries & Benefits,880000,820000,-60000,-6.8
Engineering,Software & SaaS,60000,75000,15000,25.0
Engineering,Travel & Entertainment,8000,6000,-2000,-25.0
Engineering,Professional Services,12000,10000,-2000,-16.7
Engineering,Marketing Programs,0,0,0,0.0
Customer Success,Salaries & Benefits,220000,218000,-2000,-0.9
Customer Success,Software & SaaS,22000,22000,0,0.0
Customer Success,Travel & Entertainment,6000,7000,1000,16.7
Customer Success,Professional Services,4000,4000,0,0.0
Customer Success,Marketing Programs,0,0,0,0.0
G&A,Salaries & Benefits,140000,142000,2000,1.4
G&A,Software & SaaS,12000,13000,1000,8.3
G&A,Travel & Entertainment,5000,6000,1000,20.0
G&A,Professional Services,50000,85000,35000,70.0
G&A,Marketing Programs,0,0,0,0.0
